pid,sc_athleticism,sc_size,sc_defense,sc_strength,sc_quickness,sc_leadership,sc_jumpshot,sc_nbaready,sc_potential,sc_intangibles,sc_ballhandling,sc_passing,sc_rebounding,sc_postskills,sc_overall,sc_intang_lead,sc_kw_injury,sc_kw_upside,sc_kw_motor,sc_kw_character,sc_kw_shooting_concern,sc_kw_nba_ready,sc_words_strengths,sc_words_weaknesses,sc_capture_days_before_draft,sc_has_profile
Pfb151947b8,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,35.0,164.0,8.0,1
Pb9c8134dba,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,48.0,25.0,23.0,1
P70be92ee2a,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,1.0,0.0,16.0,10.0,9.0,1
P7aebb4f3da,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,62.0,115.0,11.0,1
Pe4182c4c9a,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,81.0,41.0,8.0,1
Pdaa5dc2ffe,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,58.0,27.0,12.0,1
P0a16bf5dcd,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,26.0,100.0,9.0,1
P4d044e6517,,,,,,,,,,,,,,,,,,,,,,,,,,0
P332366fd23,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pf596e595fa,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,36.0,38.0,11.0,1
P2225ba1e79,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,42.0,26.0,9.0,1
Pa1cb69e2d5,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,43.0,16.0,24.0,1
Pbd1bd31363,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,45.0,16.0,9.0,1
P049a006ba4,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pf2b2bf7c90,,,,,,,,,,,,,,,,,,,,,,,,,,0
P382ba08b06,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pdfcccbc0ee,,,,,,,,,,,,,,,,,,,,,,,,,,0
P180bfe573f,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,31.0,141.0,49.0,1
P5ea8063b82,,,,,,,,,,,,,,,,,,,,,,,,,,0
P8b55924f31,,,,,,,,,,,,,,,,,,,,,,,,,,0
P360a02c8f3,,,,,,,,,,,,,,,,,,,,,,,,,,0
P8df0a8788c,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,35.0,18.0,9.0,1
P22993a7ac8,,,,,,,,,,,,,,,,,,,,,,,,,,0
P52ae6ebde1,,,,,,,,,,,,,,,,,,,,,,,,,,0
P3ef49a42d2,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pa5a2a6e8b9,,,,,,,,,,,,,,,,,,,,,,,,,,0
P91ba0ccfb7,,,,,,,,,,,,,,,,,,,,,,,,,,0
P8b719e2981,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pc3df7f8dbd,,,,,,,,,,,,,,,,,,,,,,,,,,0
P39bae689b5,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pd5c75d3b01,,,,,,,,,,,,,,,,,,,,,,,,,,0
P189ad0416e,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pefcb67dee7,,,,,,,,,,,,,,,,,,,,,,,,,,0
P07fb065f28,,,,,,,,,,,,,,,,,,,,,,,,,,0
P6c17983aad,,,,,,,,,,,,,,,,,,,,,,,,,,0
P0b8d4db24c,,,,,,,,,,,,,,,,,,,,,,,,,,0
P1d1b852c8c,,,,,,,,,,,,,,,,,,,,,,,,,,0
P98015d62ae,,,,,,,,,,,,,,,,,,,,,,,,,,0
P620c88aaa1,,,,,,,,,,,,,,,,,,,,,,,,,,0
P69d740b582,,,,,,,,,,,,,,,,,,,,,,,,,,0
P9c1ee88716,,,,,,,,,,,,,,,,,,,,,,,,,,0
P65db320efe,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pfdb326aa01,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pd764197a9d,,,,,,,,,,,,,,,,,,,,,,,,,,0
P7903308993,,,,,,,,,,,,,,,,,,,,,,,,,,0
P1c5dc0dbc6,,,,,,,,,,,,,,,,,,,,,,,,,,0
Paff659398c,,,,,,,,,,,,,,,,,,,,,,,,,,0
P1f7c85948b,,,,,,,,,,,,,,,,,,,,,,,,,,0
P0e7eb7e056,,,,,,,,,,,,,,,,,,,,,,,,,,0
P497243f189,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,14.0,158.0,9.0,1
P8955b1a9c4,,,,,,,,,,,,,,,,,,,,,,,,,,0
P9e0485e8f6,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pd72f71c2bb,,,,,,,,,,,,,,,,,,,,,,,,,,0
P2864fd765b,,,,,,,,,,,,,,,,,,,,,,,,,,0
P530a84e49c,,,,,,,,,,,,,,,,,,,,,,,,,,0
P3cfed129a3,,,,,,,,,,,,,,,,,,,,,,,,,,0
P8105ba296c,,,,,,,,,,,,,,,,,,,,,,,,,,0
P7cf0118ef7,,,,,,,,,,,,,,,,,,,,,,,,,,0
P7b63dad40c,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pbc657442d8,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pa0da0f38dc,,,,,,,,,,,,,,,,,,,,,,,,,,0
P9a587a1a63,,,,,,,,,,,,,,,,,,,,,,,,,,0
P2899765f70,,,,,,,,,,,,,,,,,,,,,,,,,,0
P1f84c6033c,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pcb83527531,,,,,,,,,,,,,,,,,,,,,,,,,,0
P9aa2c80a45,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pd49ad433a6,,,,,,,,,,,,,,,,,,,,,,,,,,0
P1de330dcda,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pe7b575da0a,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pbcfa5eaec6,,,,,,,,,,,,,,,,,,,,,,,,,,0
P3f83cdea39,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,11.0,32.0,2.0,1
Pc7c312fdc1,,,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,1.0,1.0,11.0,209.0,3.0,1
Pff73e1eace,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,124.0,50.0,23.0,1
Pe88af25410,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2.0,1.0,11.0,197.0,2.0,1
P854c694553,,,,,,,,,,,,,,,,,,,,,,,,,,0
P1d7e465328,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,59.0,40.0,25.0,1
Peca9b04dbf,,,,,,,,,,,,,,,,,0.0,0.0,0.0,5.0,1.0,0.0,95.0,163.0,13.0,1
P0fd2ff4395,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pac419c235c,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,35.0,44.0,13.0,1
P704a5fd478,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,56.0,39.0,13.0,1
P0d7e76d154,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,11.0,78.0,10.0,1
P98f905fdef,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,11.0,,10.0,1
Pdcd864f0fb,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2.0,0.0,50.0,62.0,13.0,1
P842a2f3c2e,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,50.0,56.0,25.0,1
P675a30c147,,,,,,,,,,,,,,,,,,,,,,,,,,0
P563df84956,,,,,,,,,,,,,,,,,,,,,,,,,,0
P3a25271b04,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,45.0,67.0,25.0,1
P75d87cd190,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,21.0,42.0,25.0,1
