pid,draft_year,source,url,capture_ts,layout,days_before_draft,fields_parsed
Pfb151947b8,2000,nbadraftnet,http://www.nbadraft.net:80/profiles/kenyonmartin.htm,20000620001309,old,8,10
Pb9c8134dba,2000,nbadraftnet,http://www.nbadraft.net:80/profiles/stromileswift.htm,20000605005406,old,23,10
P70be92ee2a,2000,nbadraftnet,http://www.nbadraft.net:80/profiles/dariusmiles.htm,20000619111237,old,9,10
P7aebb4f3da,2000,nbadraftnet,http://nbadraft.net:80/profiles/marcusfizer.htm,20000617131235,old,11,10
Pe4182c4c9a,2000,nbadraftnet,http://www.nbadraft.net:80/profiles/mikemiller.htm,20000620093319,old,8,10
Pdaa5dc2ffe,2000,nbadraftnet,http://nbadraft.net:80/profiles/dermarrjohnson.htm,20000616232524,old,12,10
P0a16bf5dcd,2000,nbadraftnet,http://www.nbadraft.net:80/profiles/chrismihm.htm,20000619022444,old,9,10
Pf596e595fa,2000,nbadraftnet,http://nbadraft.net:80/profiles/keyondooling.htm,20000617094719,old,11,10
P2225ba1e79,2000,nbadraftnet,http://www.nbadraft.net:80/profiles/jeromemoiso.htm,20000619184708,old,9,10
Pa1cb69e2d5,2000,nbadraftnet,http://www.nbadraft.net:80/profiles/etanthomas.htm,20000604125718,old,24,10
Pbd1bd31363,2000,nbadraftnet,http://www.nbadraft.net:80/profiles/courtneyalexander.htm,20000619101258,old,9,10
P180bfe573f,2000,nbadraftnet,http://www.nbadraft.net:80/profiles/quentinrichardson.htm,20000510084257,old,49,10
P8df0a8788c,2000,nbadraftnet,http://www.nbadraft.net:80/profiles/donnellharvey.htm,20000619151105,old,9,10
P497243f189,2000,nbadraftnet,http://www.nbadraft.net:80/profiles/chrisporter.htm,20000619044234,old,9,10
P3f83cdea39,2001,nbadraftnet,http://www.nbadraft.net:80/profiles/kwamebrown.htm,20010625105832,old,2,10
Pc7c312fdc1,2001,nbadraftnet,http://nbadraft.net:80/profiles/tysonchandler.htm,20010624001520,old,3,10
Pff73e1eace,2001,nbadraftnet,http://nbadraft.net:80/profiles/paugasol.htm,20010604074652,old,23,10
Pe88af25410,2001,nbadraftnet,http://www.nbadraft.net:80/profiles/eddycurry.htm,20010625105604,old,2,10
P1d7e465328,2001,nbadraftnet,http://nbadraft.net:80/profiles/shanebattier.htm,20010602125206,old,25,10
Peca9b04dbf,2001,nbadraftnet,http://nbadraft.net:80/profiles/eddiegriffin.htm,20010614032132,old,13,10
