pid,draft_year,status,slug,capture_ts,n_captures,n_rejected_postdraft,layout
Pfb151947b8,2000,ok,kenyonmartin,20000620001309,132,129,old
Pb9c8134dba,2000,ok,stromileswift,20000605005406,114,112,old
P70be92ee2a,2000,ok,dariusmiles,20000619111237,105,104,old
P7aebb4f3da,2000,ok,marcusfizer,20000617131235,93,91,old
Pe4182c4c9a,2000,ok,mikemiller,20000620093319,84,83,old
Pdaa5dc2ffe,2000,ok,dermarrjohnson,20000616232524,65,63,old
P0a16bf5dcd,2000,ok,chrismihm,20000619022444,61,60,old
P4d044e6517,2000,no_capture_before_draft,,,93,93,
P332366fd23,2000,no_content,joel-przybilla;joelprzybilla,,85,83,
Pf596e595fa,2000,ok,keyondooling,20000617094719,68,67,old
P2225ba1e79,2000,ok,jeromemoiso,20000619184708,79,76,old
Pa1cb69e2d5,2000,ok,etanthomas,20000604125718,65,63,old
Pbd1bd31363,2000,ok,courtneyalexander,20000619101258,57,52,old
P049a006ba4,2000,no_capture_before_draft,,,54,54,
Pf2b2bf7c90,2000,no_capture_before_draft,,,57,57,
P382ba08b06,2000,no_profile,,,0,0,
Pdfcccbc0ee,2000,no_capture_before_draft,,,57,57,
P180bfe573f,2000,ok,quentinrichardson,20000510084257,71,70,old
P5ea8063b82,2000,no_capture_before_draft,,,72,72,
P8b55924f31,2000,no_capture_before_draft,,,12,12,
P360a02c8f3,2000,no_capture_before_draft,,,60,60,
P8df0a8788c,2000,ok,donnellharvey,20000619151105,58,57,old
P22993a7ac8,2000,no_capture_before_draft,,,171,171,
P52ae6ebde1,2000,no_capture_before_draft,,,9,9,
P3ef49a42d2,2000,no_capture_before_draft,,,18,18,
Pa5a2a6e8b9,2000,name_mismatch,mamadoundiaye,,35,33,
P91ba0ccfb7,2000,no_capture_before_draft,,,8,8,
P8b719e2981,2000,no_capture_before_draft,,,43,43,
Pc3df7f8dbd,2000,no_capture_before_draft,,,55,55,
P39bae689b5,2000,no_capture_before_draft,,,13,13,
Pd5c75d3b01,2000,no_capture_before_draft,,,29,29,
P189ad0416e,2000,no_capture_before_draft,,,34,34,
Pefcb67dee7,2000,no_capture_before_draft,,,10,10,
P07fb065f28,2000,no_capture_before_draft,,,39,39,
P6c17983aad,2000,no_profile,,,0,0,
P0b8d4db24c,2000,no_capture_before_draft,,,33,33,
P1d1b852c8c,2000,no_capture_before_draft,,,47,47,
P98015d62ae,2000,no_capture_before_draft,,,47,47,
P620c88aaa1,2000,no_capture_before_draft,,,34,34,
P69d740b582,2000,no_capture_before_draft,,,32,32,
P9c1ee88716,2000,no_profile,,,0,0,
P65db320efe,2000,no_capture_before_draft,,,46,46,
Pfdb326aa01,2000,no_capture_before_draft,,,12,12,
Pd764197a9d,2000,no_capture_before_draft,,,66,66,
P7903308993,2000,no_capture_before_draft,,,33,33,
P1c5dc0dbc6,2000,no_profile,,,0,0,
Paff659398c,2000,no_profile,,,0,0,
P1f7c85948b,2000,no_capture_before_draft,,,37,37,
P0e7eb7e056,2000,no_profile,,,0,0,
P497243f189,2000,ok,chrisporter,20000619044234,33,30,old
P8955b1a9c4,2000,no_capture_before_draft,,,11,11,
P9e0485e8f6,2000,no_profile,,,0,0,
Pd72f71c2bb,2000,no_profile,,,0,0,
P2864fd765b,2000,no_profile,,,0,0,
P530a84e49c,2000,no_profile,,,0,0,
P3cfed129a3,2000,no_capture_before_draft,,,8,8,
P8105ba296c,2000,no_capture_before_draft,,,9,9,
P7cf0118ef7,2000,no_profile,,,0,0,
P7b63dad40c,2000,no_capture_before_draft,,,15,15,
Pbc657442d8,2000,no_capture_before_draft,,,22,22,
Pa0da0f38dc,2000,no_profile,,,0,0,
P9a587a1a63,2000,no_profile,,,0,0,
P2899765f70,2000,no_capture_before_draft,,,21,21,
P1f84c6033c,2000,no_profile,,,0,0,
Pcb83527531,2000,no_profile,,,0,0,
P9aa2c80a45,2000,no_capture_before_draft,,,27,27,
Pd49ad433a6,2000,no_profile,,,0,0,
P1de330dcda,2000,no_capture_before_draft,,,11,11,
Pe7b575da0a,2000,no_capture_before_draft,,,11,11,
Pbcfa5eaec6,2000,no_profile,,,0,0,
P3f83cdea39,2001,ok,kwamebrown,20010625105832,128,127,old
Pc7c312fdc1,2001,ok,tysonchandler,20010624001520,79,78,old
Pff73e1eace,2001,ok,paugasol,20010604074652,89,88,old
