pid,draft_year,slug,n_pids_sharing,reason
Pa5a2a6e8b9,2000,mamadou-ndiaye-2,2,shared_slug_no_capture_in_window
Pfff80834af,2016,mamadou-ndiaye-2,2,shared_slug_no_capture_in_window
Pa5a2a6e8b9,2000,mamadou-ndiaye,2,shared_slug_no_capture_in_window
Pfff80834af,2016,mamadoundiaye,2,shared_slug_no_capture_in_window
P6c17983aad,2000,mike-smith,2,shared_slug_no_capture_in_window
P6c17983aad,2000,mike-smith-2,2,shared_slug_no_capture_in_window
P820aca19f1,2001,mikejames,2,shared_slug_no_capture_in_window
Pd13759b893,2017,mikejames,2,shared_slug_no_capture_in_window
P924fa678bb,2006,marcus-williams,2,shared_slug_no_capture_in_window
P40c501f5d6,2007,marcus-williams,2,shared_slug_no_capture_in_window
P924fa678bb,2006,marcuswilliams,2,ambiguous_shared_slug
P40c501f5d6,2007,marcuswilliams,2,ambiguous_shared_slug
P06e60a886f,2010,chris-johnson,2,ambiguous_shared_slug
Pee7c22ed91,2012,chris-johnson,2,ambiguous_shared_slug
Pee7c22ed91,2012,chrisjohnson,2,shared_slug_no_capture_in_window
P64a7a54879,2010,elijah-millsap,2,ambiguous_shared_slug
P25609e2dfe,2014,elijah-millsap,2,ambiguous_shared_slug
P0736b54145,2011,chris-wright-0,2,ambiguous_shared_slug
Pf37ef86b30,2012,chris-wright-0,2,ambiguous_shared_slug
Pf37ef86b30,2012,chriswright,2,shared_slug_no_capture_in_window
P0736b54145,2011,chris-wright,2,ambiguous_shared_slug
Pf37ef86b30,2012,chris-wright,2,ambiguous_shared_slug
Pd30706ab20,2011,willie-reed,2,ambiguous_shared_slug
P65d56567c7,2015,willie-reed,2,ambiguous_shared_slug
P8d17fbd48e,2013,chris-smith,2,shared_slug_no_capture_in_window
P8eb153b63d,2019,michael-frazier-ii,2,shared_slug_no_capture_in_window
P9e418f4c91,2015,michael-frazier,2,ambiguous_shared_slug
P8eb153b63d,2019,michael-frazier,2,ambiguous_shared_slug
Pbe8ddcfedd,2017,chance-comanche,2,ambiguous_shared_slug
P2e38feab3a,2022,chance-comanche,2,ambiguous_shared_slug
P4d3e8e1430,2018,kaiser-gates,2,ambiguous_shared_slug
P9305edebac,2023,kaiser-gates,2,ambiguous_shared_slug
Pe28113186c,2021,cameron-thomas,2,ambiguous_shared_slug
Pf0fd005549,2021,cameron-thomas,2,ambiguous_shared_slug
P9436ca936e,2025,ethan-thompson,2,shared_slug_no_capture_in_window
P4bd2cd3d34,2024,carlton-carrington,2,ambiguous_shared_slug
P424c3aa3f2,2024,carlton-carrington,2,ambiguous_shared_slug
