pid,source,fiba_person_id,n_tournaments_predraft,tournament_ids,urls
P6dc3d3ca5e,fiba.basketball,127517,3,263_81;263_80;263_1927,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/81;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/80;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/1927
Pc692096d48,fiba.basketball,129929,2,263_81;263_80,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/81;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/80
P014b6ed928,fiba.basketball,137943,2,235_1897;263_2886,https://www.fiba.basketball/en/history/235-fiba-u16-eurobasket/1897;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2886
Pc5cf3e8f14,fiba.basketball,133277,2,263_81;263_1927,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/81;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/1927
P38d9dee28f,fiba.basketball,133270,3,263_81;263_80;263_1927,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/81;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/80;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/1927
P53313a94c2,fiba.basketball,132130,1,263_1927,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/1927
Pa59b169e09,fiba.basketball,129927,2,263_81;263_80,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/81;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/80
P18458ff2ec,fiba.basketball,134532,4,263_80;263_1927;263_2886;263_2888,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/80;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/1927;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2886;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2888
P8abebd0da5,fiba.basketball,135716,2,235_214;263_272,https://www.fiba.basketball/en/history/235-fiba-u16-eurobasket/214;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/272
P5c0fad1503,fiba.basketball,138001,3,235_1897;263_2886;263_2888,https://www.fiba.basketball/en/history/235-fiba-u16-eurobasket/1897;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2886;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2888
P0685226773,fiba.basketball,135118,3,235_214;235_213;235_1897,https://www.fiba.basketball/en/history/235-fiba-u16-eurobasket/214;https://www.fiba.basketball/en/history/235-fiba-u16-eurobasket/213;https://www.fiba.basketball/en/history/235-fiba-u16-eurobasket/1897
Pbc9cc4070d,fiba.basketball,134572,2,263_80;263_1927,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/80;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/1927
P7aeaf13cc2,fiba.basketball,127457,3,263_81;263_80;263_1927,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/81;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/80;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/1927
P92a5884e77,fiba.basketball,143505,1,276_2701,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/2701
P099a8d0c1c,fiba.basketball,143395,1,276_2701,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/2701
P5afd5b991d,fiba.basketball,143574,1,276_2701,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/2701
P2f15d5867f,fiba.basketball,143236,2,235_2683;263_2703,https://www.fiba.basketball/en/history/235-fiba-u16-eurobasket/2683;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2703
P5ea12f1777,fiba.basketball,137443,4,235_213;235_1897;263_2888;263_2703,https://www.fiba.basketball/en/history/235-fiba-u16-eurobasket/213;https://www.fiba.basketball/en/history/235-fiba-u16-eurobasket/1897;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2888;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2703
Pd11ab06c36,fiba.basketball,135399,4,235_214;235_213;235_1897;276_2701,https://www.fiba.basketball/en/history/235-fiba-u16-eurobasket/214;https://www.fiba.basketball/en/history/235-fiba-u16-eurobasket/213;https://www.fiba.basketball/en/history/235-fiba-u16-eurobasket/1897;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/2701
P3e3a854ff5,fiba.basketball,144585,1,263_2703,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2703
Pc6a39f466a,fiba.basketball,142655,2,235_2683;263_2703,https://www.fiba.basketball/en/history/235-fiba-u16-eurobasket/2683;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2703
Pd382320a3c,fiba.basketball,131605,2,263_80;263_1927,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/80;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/1927
P11475d8eed,fiba.basketball,143758,1,263_2703,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2703
P0820723beb,fiba.basketball,131949,3,263_81;263_80;263_1927,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/81;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/80;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/1927
Pff1fab2e32,fiba.basketball,135566,3,235_214;235_213;263_2886,https://www.fiba.basketball/en/history/235-fiba-u16-eurobasket/214;https://www.fiba.basketball/en/history/235-fiba-u16-eurobasket/213;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2886
P20a1183fcf,fiba.basketball,147197,1,263_2703,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2703
Pdb7c6b10a9,fiba.basketball,143561,1,276_2701,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/2701
Pb01091942c,fiba.basketball,150842,1,261_3162,https://www.fiba.basketball/en/history/261-fiba-u18-eurobasket-division-b/3162
Pa760c9001c,fiba.basketball,137946,2,235_1897;263_2886,https://www.fiba.basketball/en/history/235-fiba-u16-eurobasket/1897;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2886
Pc858ff68e6,fiba.basketball,135282,4,235_214;235_213;235_1897;276_2701,https://www.fiba.basketball/en/history/235-fiba-u16-eurobasket/214;https://www.fiba.basketball/en/history/235-fiba-u16-eurobasket/213;https://www.fiba.basketball/en/history/235-fiba-u16-eurobasket/1897;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/2701
P3bad279cb0,fiba.basketball,133271,2,263_80;263_1927,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/80;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/1927
P8be75213cc,fiba.basketball,143414,1,276_2701,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/2701
P23d9f5804f,fiba.basketball,143295,2,258_2996;276_2701,https://www.fiba.basketball/en/history/258-fiba-u18-asia-cup/2996;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/2701
P12dc2a4dac,fiba.basketball,155226,1,256_3285,https://www.fiba.basketball/en/history/256-fiba-u18-americup/3285
Pc544b8efa0,fiba.basketball,144192,1,263_2703,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2703
P42adf8ab25,fiba.basketball,135508,5,235_214;235_213;235_1897;263_2886;263_2888,https://www.fiba.basketball/en/history/235-fiba-u16-eurobasket/214;https://www.fiba.basketball/en/history/235-fiba-u16-eurobasket/213;https://www.fiba.basketball/en/history/235-fiba-u16-eurobasket/1897;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2886;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2888
P8e68185705,fiba.basketball,143326,1,263_2703,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2703
P93e1b535ab,fiba.basketball,137482,3,235_213;235_1897;263_2888,https://www.fiba.basketball/en/history/235-fiba-u16-eurobasket/213;https://www.fiba.basketball/en/history/235-fiba-u16-eurobasket/1897;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2888
P722aa856f7,fiba.basketball,155221,2,256_3285;276_3299,https://www.fiba.basketball/en/history/256-fiba-u18-americup/3285;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/3299
Peda84f3898,fiba.basketball,146646,2,235_3159;263_3163,https://www.fiba.basketball/en/history/235-fiba-u16-eurobasket/3159;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/3163
P5f07dfebd6,fiba.basketball,155219,1,256_3285,https://www.fiba.basketball/en/history/256-fiba-u18-americup/3285
P3d1eff1bca,fiba.basketball,146586,4,235_3159;263_3163;263_4068;276_3299,https://www.fiba.basketball/en/history/235-fiba-u16-eurobasket/3159;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/3163;https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/4068;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/3299
Pc3a5f10000,fiba.basketball,161182,1,263_4627,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/4627
P0157d20b94,fiba.basketball,152860,1,254_3291,https://www.fiba.basketball/en/history/254-fiba-u18-afrobasket/3291
